lattes id;coordenador;ano inicio;ano fim;titulo;Assunto
1786889674911887;;2015;2018;Plataforma MIMO Flexível para  Desenvolvimento de Algoritmos em Sistemas de  Comunicações;5G
1972007941497086;João Crisóstomo Weyl Albuquerque Costa;2021;2022;UFA 28 - Estratégias para o Gerenciamento de Recursos de Rádio e Implantação Eficientes para Redes Centradas no Usuário;5G
1972007941497086;COSTA, JOAO C. W. A.;2018;2019;UFA 20 - Tecnologias de Transporte Alternativas para Fronthaul 5G;5G
1972007941497086;João Crisóstomo Weyl Albuquerque Costa;2016;2018;UFA17 - Extensão de Camada Física Usando Chips Ethernet e Controle de Tráfego para Transporte sobre Ethernet em Redes Fronthaul 5G;5G
0268732896111424;Kleber Vieira Cardoso;2019;2020;SOFTWAY4IoT: SOFTware-defined gateWAY and fog computing for IoT (Internet of Things) - fase 5GIoT;5G
0268732896111424;Antonio Alfredo Ferreira Loureiro;2017;2020;EMBRACE (lEveraging huMan Behavior for Resource AlloCation and services orchestration modEls);5G
9896683508430382;;2017;2021;Pesquisa Aplicada em Redes de Acesso Sem Fio em Banda Larga e sistemas de Radiodifusão;5G
1253785596446469;FERNANDES, H. C. C;2016;2018;ANTENAS DE MICROFITAS E ARRANJOS DE ANTENAS, COM SUBSTRATO SEMICONDUTOR E FOTÔNICO EM 4G, 5G E THz;5G
2247619809331876;André Augusto Mariano;2021;Atual;Comunicação Sem Fio com Alta Eficiência Energética: da Análise do Sistema ao Projeto de Circuitos Integrados de Radiofrequência;5G
8709809037223235;Taufik Abrão;2022;Atual;Eficiência, Confiabilidade e Conectividade em Sistemas 5G e 6G: XL-MIMO, RIS, Cell-Free, Acesso Aleatório e Aprendizagem de Máquinas.  Edital UNIVERSAL - MCTI/CNPq No. 18/2021 Faixa B ? Grupos Consolidados;5G
8709809037223235;;2016;2020;(EE-Re-Netw) -- Eficiência Energética e Confiabilidade em Sistemas de Comunicação de Quinta-Geração.  CHAMADA PÚBLICA 03/2016 PBA-2016 ? PROGRAMA DE PESQUISA BÁSICA E APLICADA DA UEL (Acordo FA/UEL);5G
