coordenador id;nome;afiliacao;ref id;ref nome
350208006499503;Fátima de Lima Procópio Duarte Figueiredo;Pontifícia Universidade Católica de Minas Gerais, PUC Minas, Brasil.;350208006499503;Fátima de Lima Procópio Duarte Figueiredo
253528642320831;Ariana Maria da Conceicao Lacorte Caniato Serrano;Universidade de São Paulo, USP, Brasil.;253528642320831;Ariana Maria da Conceicao Lacorte Caniato Serrano
920629723928382;Flávio Henrique Teles Vieira;Universidade Federal de Goiás, UFG, Brasil.;8216536516894987;Flávio Henrique Teles Vieira
9119890339398363;Luciano Leonel Mendes;Instituto Nacional de Telecomunicações, INATEL, Brasil.;9119890339398363;Luciano Leonel Mendes
6475399824392517;Fabiano Brito dos Santos;Instituto Federal da Bahia, IFBA, Brasil.;6475399824392517;Fabiano Brito dos Santos
1991495643298837;Pedro Carlos de Assis Júnior;Universidade Estadual da Paraíba, UEPB, Brasil.;1991495643298837;Pedro Carlos de Assis Júnior
7221501929005386;Leandro Ronchini Ximenes;Universidade Estadual de Campinas, UNICAMP, Brasil.;7221501929005386;Leandro Ronchini Ximenes
9745937989094036;Carmelo Jose Albanez Bastos Filho;Fundação de Amparo à Ciência e Tecnologia do Estado de Pernambuco, FACEPE, Brasil.;9745937989094036;Carmelo Jose Albanez Bastos Filho
739489284822297;Carlos Henrique Rodrigues de Oliveira;Fundação Centro de Pesquisa e Desenvolvimento em Telecomunicações, CPqD, Brasil.;739489284822297;Carlos Henrique Rodrigues de Oliveira
9594450995231533;Raphael Carlos Santos Machado;Universidade Federal Fluminense, UFF, Brasil.;7024103923181043;Raphael Carlos Santos Machado
8347190422243353;Glauber Gomes de Oliveira Brante;Universidade Tecnológica Federal do Paraná, UTFPR, Brasil.;8347190422243353;Glauber Gomes de Oliveira Brante
4333596254925501;Daniel Costa Araújo;Centro Universitário Christus, UNICHRISTUS, Brasil.;4333596254925501;Daniel Costa Araújo
1028151705135221;Eduardo Coelho Cerqueira;Universidade do Vale do Rio dos Sinos, UNISINOS, Brasil.;1028151705135221;Eduardo Coelho Cerqueira
2934786440085983;Daniel Macêdo Batista;Universidade de São Paulo, USP, Brasil.;2934786440085983;Daniel Macêdo Batista
